,,,question is relevant,,,,question is meaningful,,,,question is correct,,,,,,,,,,
132612,What group of zebras and giraffes are in a field?,field,1,1,0,1,2,2,1,2,0,1,0,0,,0,,,,,
132861,How did the English mathematician Arthur Spenser build his clock tower?,it,1,0,0,0,1,1,1,1,0,0,0,0,,0,,,,,
133251,What is on a couch in a black and white house?,black,1,1,0,1,2,2,1,2,2,0,0,0,,0,,,,,
133567,Was the person standing next to a train seen standing in the street?,train,1,1,1,1,0,2,1,2,1,0,0,0,,0,,,,,
133567,Was a man standing next to a train on the tracks?,train,1,1,1,1,1,1,1,1,0,0,0,1,,0,,,,,
133567,Was a man standing next to a train on the tracks?,train,1,1,1,1,1,1,1,1,0,0,0,1,,0,,,,,
133620,Did the woman on the cell phone talk on a cell phone?,a hat and sunglasses,1,1,1,1,2,2,1,2,1,0,0,0,,0,,,,,
133620,What type of hat and sunglasses did the woman talking on the phone wear?,wearing,1,1,1,1,2,1,1,1,0,0,0,1,,0,,,,,
133636,Is the parking meter located on the side of a street?,the side of a street,1,1,1,1,1,1,1,1,1,0,0,1,,0,,,,,
133928,Are there any boats that are on the river?,A yellow boat,1,1,1,1,2,1,1,1,1,1,2,1,,1,,,,,
134010,Is a red train traveling down the tracks?,A red train,1,1,1,1,2,1,1,1,1,0,0,1,,0,,,,,
134010,How is a red train traveling?,tracks,[],1,1,1,2,2,1,2,1,1,2,0,,1,,,,,
134010,Does a train move down the tracks or go straight down the tracks?,A red train,1,1,1,1,2,0,0,0,0,0,0,0,,0,,,,,
134010,How is a red train traveling?,tracks,1,1,1,1,2,2,1,2,1,1,0,0,,1,,,,,
262162,Can a bedroom with a chair and a desk be used as a bedroom?,a bed and a chair and a desk,1,1,1,1,2,2,1,2,1,1,0,0,,1,,,,,
262197,How is a clock tower placed on the front of the  synagogue?,of it,1,0,0,0,1,0,1,1,0,0,0,0,,0,,,,,
262391,Do people sit in front of a television or sit in front of it?,front,1,1,0,1,2,2,0,2,2,0,0,0,,0,,,,,
262509,Was a boat on a river with a clock tower?,a clock tower,1,1,0,1,2,2,1,2,1,0,0,0,,0,,,,,
262509,Was the boat in the middle of a river with a clock tower or a boat in the middle of it?,a clock tower,1,1,0,1,2,2,0,2,1,0,0,0,,0,,,,,
262514,Do women and men have the same bathrooms?,a toilet and a sink,1,0,0,0,1,0,1,1,2,0,0,0,,0,,,,,
262895,Does a man wearing a tie or suit have a lot of control over his surroundings?,a suit and tie,1,1,0,1,2,0,1,2,2,0,0,0,,0,,,,,
262895,Was the wearer of a suit and tie?,a suit and tie,1,1,1,1,0,2,0,0,1,1,0,0,,1,,,,,
263011,What is the name of the group that people stand in a field with?,buses,1,1,1,1,2,2,1,2,1,1,0,0,,1,,,,,
263664,How is a person riding a motorcycle positioned?,man,1,1,1,1,2,1,1,1,2,0,0,1,,0,,,,,
264625,Can flowers be found in a vase?,flowers sitting on a table,1,1,1,1,1,1,1,1,2,0,0,1,,0,,,,,
264683,What was the group of people that parked in a museum?,planes,0,1,0,0,0,2,0,0,2,1,0,2,,2,,,,,
264683,Did a group of planes park in a museum?,A group of planes,1,1,0,1,2,1,1,1,1,0,0,1,,0,,,,,
264718,What is placed on the side of a parking meter?,A street sign,1,1,1,1,1,1,1,1,1,0,1,1,,1,,,,,
327771,How is the room in the living room with a bed and a table located?,a bed and a table,1,0,0,0,2,0,0,0,1,0,0,0,,0,,,,,
327771,How is the room in the living room with a bed and a table located?,a bed and a table,1,0,0,0,2,0,0,0,1,0,0,0,,0,,,,,
393338,What did the vase fill with?,flowers,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,
393410,What color was a large airplane flying in?,in a blue sky,1,1,1,1,2,2,1,2,1,1,1,0,,1,,,,,
393557,What group of animals are standing next to each other?,zebras,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,
393583,What is on the side of a fence in Hyderabad?,the side of a fence,1,1,1,1,1,2,1,1,0,0,0,1,,0,,,,,
393647,What is the main object of a crowd?,people,1,0,0,0,1,0,1,1,1,0,2,2,,2,,,,,
393647,What part of the bus did a group of people standing in front of take photos?,front of a bus,1,0,0,0,2,0,0,0,1,0,0,0,,0,,,,,
393777,What is the name of the room in which the children are playing?,room,1,1,1,1,1,1,1,1,1,0,0,1,,0,,,,,
393777,How was the boy and woman in the room when the attack happened?,a video game,1,0,0,0,1,0,1,1,2,0,0,0,,0,,,,,
393984,What is in a kitchen with a sink?,a kitchen with a sink,1,0,1,1,2,0,1,2,0,0,0,0,,0,,,,,
394133,What did the hotel room with a bed and a chair have?,a bed and a chair,1,1,1,1,1,2,1,1,1,1,1,1,,1,,,,,
394133,Was the room with a chair or chair used for the lunch or dinner meal?,a bed and a chair,1,1,0,1,0,2,0,0,1,0,0,0,,0,,,,,
394240,What was on the other side of the building?,motorcycles,1,1,1,1,1,2,1,1,1,1,1,1,,1,,,,,
394510,What was riding a skateboard on a street?,A young boy,1,1,1,1,2,2,2,2,1,1,1,0,,1,,,,,
394801,Does it mean that the fruit is edible?,fruits and vegetables,1,1,1,1,2,1,1,1,1,0,0,1,,0,,,,,
395402,Does a dog sit on a table next to a table?,A brown dog,1,1,2,1,2,2,1,2,1,0,0,0,,0,,,,,
395402,Is the dog sitting on the floor next to a table a brown or brown dog?,A brown dog,1,1,1,1,2,2,2,2,2,1,0,2,,2,,,,,
396209,What type of chair is used in the area?,A narrow alley,1,0,1,1,1,0,1,1,0,0,0,1,,0,,,,,
415325,What part of a pole can be seen as a yellow sign?,side,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,
415325,What part of a pole can be seen as a yellow sign?,side,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,
510657,How can you describe the members of a group of people sitting at a table?,group,1,1,1,1,1,2,1,1,1,1,2,1,,1,,,,,
524575,Are these animals native to Antarctica?,giraffes and other animals,1,1,0,1,2,1,1,1,1,0,0,1,,0,,,,,
524775,What type of vehicle is used to travel to and from the airport?,street,1,0,0,0,2,0,1,2,2,0,0,0,,0,,,,,
524822,What are the living room and dining room items in the house?,a couch and a television,1,1,0,1,2,2,1,2,1,1,1,0,,1,,,,,
525087,Where was the man riding on?,the back,1,1,1,1,2,1,2,2,0,0,0,0,,0,,,,,
525087,How did a man riding on a back of a horse get his bearings?,back,1,0,0,0,2,0,0,0,2,0,0,0,,0,,,,,
525118,Are there any specific types of food items that can be made with milk?,bananas,1,0,1,1,2,0,1,2,1,0,2,2,,2,,,,,
525369,How was the child's blanket placed?,laying,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,
525559,Are zebras standing next to each other in a field or a field?,field,1,1,1,1,2,2,2,2,1,0,0,0,,0,,,,,
525568,Are two zebras standing next to each other in a field?,Two,1,1,1,1,2,1,1,1,1,0,0,1,,0,,,,,
525616,How are people playing video games?,a living room,1,1,1,1,1,2,1,1,1,1,0,1,,1,,,,,
525763,How many boats docked in a harbor?,group,1,1,1,1,1,2,1,1,2,0,2,2,,2,,,,,
526126,What was a prankster doing on a skateboard?,skateboard,1,1,1,1,1,1,1,1,2,0,0,1,,0,,,,,
526126,Does a man do a trick on a skateboard?,man,1,1,1,1,2,1,1,1,0,0,0,1,,0,,,,,
526256,What was on the side of a building on the day the trial was decided?,the side of a building,1,0,0,0,2,0,0,0,2,0,0,0,,0,,,,,
526394,Does a cake on a white chocolate cake have a fork or fork?,a white plate,1,1,0,1,2,2,0,2,1,0,0,0,,0,,,,,
526560,Is a grass or a stone standing in the field?,grass,1,0,1,1,2,0,1,2,2,0,1,2,,2,,,,,
526560,Is a zebra standing in a field or in a field?,field,1,1,1,1,2,2,2,2,1,0,0,0,,0,,,,,
526806,Is the train sitting on the tracks or the train?,train,1,1,2,1,2,2,0,2,2,0,0,0,,0,,,,,
526806,How is the train sitting on tracks?,is,1,0,1,1,1,0,1,1,0,0,0,1,,0,,,,,
526955,Is it possible for a child to sit in the grass with a ball?,A young child,1,0,0,0,2,1,1,1,1,0,0,0,,0,,,,,
527164,What is on a pole and on what?,a sign on a pole,1,1,2,1,2,2,2,2,1,2,2,2,,2,,,,,
527164,What does a traffic light and a sign on a pole have in common?,sign,1,1,1,1,1,1,1,1,1,0,0,1,,0,,,,,
527164,What does a traffic light and a sign on a pole have in common?,sign,1,1,1,1,1,1,1,1,1,0,0,1,,0,,,,,
527313,What is a man sitting at a table eating in a restaurant called?,eating a sandwich,1,0,1,1,1,1,1,1,1,1,0,1,,1,,,,,
527447,Is it snow or snow covered on the mountain?,skis,1,1,1,1,1,2,2,2,2,0,0,0,,0,,,,,
527447,What is a group of people on a snow covered mountain called?,of people,1,1,1,1,2,1,1,1,2,0,0,1,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,Yes,0.83,,,Yes,0.47,,,Yes,0.38,,,,,,,
,,,,,Partialy,0,,,Partialy,0.36,,,Partialy,0.12,,,,,,,
,,,,,No,0.17,,,No,0.17,,,No,0.5,,,,,,,
